name	relationship	relationship_value	continent
Tech for Good	Open leaders	3	Europe
Tech Kids Unlimited	Grantees	5	North America
TEDIC NGO	OWF Host Org Applicants	2	South America
TES Global	Mozfest Facilitator	3	Europe
Thai Netizen Network	None	1	Asia
the battle for the net coalition	None	1
the center for humane technology	None	1	North America
The Document Foundation	None	1	Europe
The Educational Video Center	Grantees	5	North America
The Educational Video Center	Open leaders	3	North America
The Educational Video Center	Mozfest Facilitator	3	North America
The Engine Room	IHR Contributors	4
The Enterprise Center	Grantees	5	North America
The Intern	Grantees	5
The Kansas University Endowment Association	Grantees	5	North America
The Knowledge House	Grantees	5	North America
The LAMP	Grantees	5	North America
The New School	Open leaders	3	North America
The Online Progressive Engagement Network	OWF Host Org Applicants	2
THE POINT CDC	Grantees	5	North America
The Public Education Foundation - Chattanooga, TN	Mozfest Facilitator	3	North America
